"index","przypadki","Arima_lag1","Arima_bc","Arima_auto"
1,657,657,653.743924031569,2602.42868451578
2,658,656.598047445167,657.222032313294,951.874443135544
3,548,698.443063335308,632.079872709898,973.082755682128
4,575,718.701856992587,547.557169763661,762.070843175646
5,680,645.833918604105,618.182253411356,866.142984105351
6,640,651.894901134258,683.016298931448,877.105160258215
7,726,681.468036923611,632.710268437775,829.391205452934
8,809,601.334988379815,694.079910085812,958.6948519367
9,843,650.376080796866,724.182460891074,972.575883918837
10,624,759.142850059255,737.38518825338,1029.832150398
11,619,794.171004841309,599.967402535034,759.212730686863
12,551,747.512904136228,694.776890785318,923.75913791049
13,715,778.736442038095,646.491443661191,697.936922243607
14,811,683.284706233212,841.188723271174,1030.1772668576
15,832,572.899876920422,764.979752370444,908.360755603465
16,771,642.824768286225,756.871189660067,1059.73637866395
17,594,767.131730105243,634.489087393925,899.155958130033
18,595,859.065779742633,586.455221129075,818.370864285752
19,597,781.797427590649,629.581820617786,840.829617113781
20,735,699.350040987718,693.606426268857,802.489931764482
21,767,623.482645397584,786.562534162856,977.31354498701
22,903,619.639779569797,754.233135122377,904.760751978205
23,900,661.772569537542,795.199130573429,1138.19996806879
24,581,756.826696037522,736.594570547924,1000.72664583517
25,548,879.81840042083,561.096672986758,763.156840862774
26,763,809.462341784441,648.943777869609,847.707496914891
27,729,728.371689424773,857.399054618378,988.891403125511
28,887,704.055066564564,773.455088186386,866.718915014626
29,791,557.170077889939,862.248455641459,1148.6141528658
30,759,709.445493845214,693.501754549971,863.419694660032
31,631,885.408339015385,717.685119359977,1045.62991942867
32,502,834.147605002437,612.084171489978,752.87654964124
33,550,755.510456886301,610.421651223938,794.182185791999
34,595,679.665255156694,663.393877532134,768.740142663219
35,612,659.632988957852,695.921643571523,821.969197592164
36,691,602.684665194582,620.484109838574,800.708123357678
37,567,564.775924827341,633.529772252728,911.695190177677
38,437,692.53810807952,482.074535792155,704.595397601761
39,302,739.757138070976,444.395899668797,696.159337959799
40,400,680.245237470444,361.447321264412,507.385225621429
41,421,579.775168173489,531.988155039059,709.761513132134
42,506,517.722122956364,455.737642457094,570.125161153962
43,594,459.983642815127,521.437645963212,773.6975539564
44,603,480.413891220527,449.340343740466,738.999361499715
45,502,602.062275721955,467.209390344561,807.318741709152
46,377,656.021429856886,382.541771276338,659.510573585435
47,605,653.744749211582,409.176513166076,617.087576659213
48,600,584.01507255965,641.593725325734,876.868850165963
49,837,601.729681271872,640.055140479108,704.72943755434
50,757,511.479881325428,813.951211123803,1126.55734222472
51,1002,610.269255479737,659.221684067049,777.687470430116
52,910,726.722820592742,869.718697408965,1345.7874372795
53,748,824.793588616776,714.099397828835,874.810864187903
54,711,858.838208821468,760.788866977741,1066.14176629432
55,974,813.073755146543,762.253682940114,851.592762784041
56,1136,808.37969518773,1130.22570008532,1294.30111835679
57,1587,755.934020904142,1061.6942119265,1189.92753191959
58,1584,635.255624225041,1397.29580299219,1853.82728989694
59,1350,891.758088880581,1114.64330793018,1486.2009939606
60,1306,1234.66093401052,1176.18836937387,1579.80817879791
61,1326,1266.71790606591,1177.84224522968,1452.88550949082
62,1552,1240.44577298445,1513.46187841411,1559.68603646768
63,1967,1080.61586523576,1664.82554484087,1735.63088747092
64,2292,945.773283734262,2097.6231029578,2129.90664788891
65,2367,1100.03367202401,1974.99125338193,2328.94581802502
66,1934,1379.11103724144,2040.16547195881,2412.20730842942
67,2006,1677.50296458838,1641.26213220911,1954.68373373214
68,2236,1708.16698337277,2044.00266785958,2348.65616166414
69,3003,1651.57349080333,2162.16274199895,2307.66962239178
70,4280,1407.3435189699,2987.69110195423,3272.27832919458
71,4739,1224.96902759611,3356.55221485332,4214.1691288065
72,5300,1812.97286965161,3659.06082362839,4440.24133213216
73,4178,2429.24114630681,3865.00868962595,5264.84256032883
74,4394,3326.92424246375,3748.95884149022,3679.21612785636
75,5068,3434.81605664891,4667.5896157032,5076.7395003218
76,6526,3152.77096943777,5788.96779028938,4802.37551930274
77,8099,2823.3480714669,6988.39086271125,6855.05566709214
78,7705,2646.59836989322,7471.09753205884,7534.81438004538
79,9622,3839.34170781619,6574.79022002794,7179.31940324157
80,8536,4468.84234662015,7832.6155282909,9932.37401609158
81,7482,5721.40844720641,6902.95366933586,7184.56822847153
82,9291,5958.6184178552,7470.56489128504,8169.95708195674
83,10040,5020.97525105172,9495.37208897945,9322.97825127583
84,12107,5687.64852596852,10557.9028455934,9616.95087943081
85,13632,5179.3143990147,11894.8754601308,12129.7447358752
86,13628,5258.60520773983,12326.688359834,12656.5932349437
87,11742,7355.09582338151,11900.0506998635,13005.3279069638
88,10241,8897.2499401785,10983.7520666566,11010.6744403946
89,16300,8956.80585243661,10937.2564426752,10629.7703199301
90,18820,7026.34973133759,16548.6775975339,17455.2351358297
91,20156,7240.66526863208,16192.6898876241,16286.7221746244
92,21629,7710.22402877597,17286.4513450955,19963.5839641246
93,21897,9503.61870647721,17390.0218108401,19900.9342545058
94,17171,13652.1541903236,19431.1335673168,21211.5203720852
95,15578,15192.3175365386,17144.2894211816,15391.1590105595
96,19364,12851.7441913001,19738.1692328005,17273.237699558
97,24692,11365.1998211934,23166.1519343179,19410.5613049968
98,27143,10944.7614472628,26426.9055251759,24325.4682777399
99,27086,9991.10015366502,23481.3719134781,24867.814488398
100,27875,12084.3928797754,22260.3572663248,25816.5427497419
101,24785,16723.8773041659,21772.9051246869,26831.6591758673
102,21713,19635.3278940376,22001.6631497551,23167.8910734154
103,25484,17577.0774550307,22510.009506113,22105.4728185775
104,25221,14368.627348539,29442.4949176769,26367.8426170175
105,22683,15795.8729222299,28385.9023700475,23156.6751575459
106,24051,15649.7611824158,27076.7187804078,22820.5315166362
107,25571,13788.0419324221,26081.2703108145,24152.1299778498
108,21854,15674.7486107109,25567.0852253449,24907.808026723
109,20816,16801.3240356752,20368.8013203356,20409.7342738648
110,19152,14158.1224016548,20439.9514938518,22000.1852936451
111,19883,14705.4607198065,18656.989763409,18252.7665491103
112,23975,14991.8602349671,20895.9545811552,21204.4556471777
113,22464,11544.7260176319,22806.8294243633,23397.112091287
114,24213,11726.8030144807,21678.7188791365,20765.2709223713
115,17856,12973.4453816276,22798.7958500575,24899.6798039002
116,15002,16421.4298192953,18420.0161544023,14891.9664147473
117,10141,15975.0583974457,18325.5494179099,18045.9419564479
118,15360,13486.3268938828,14187.5477074604,8684.24940299005
119,16846,9739.71440486362,20787.8117527012,19915.8342794361
120,17059,7801.94669782631,16223.1308472744,13135.7868054557
121,15183,7593.11289163129,15426.9499876129,18932.1073916068
122,11483,9052.24630520323,11359.5389476289,12626.7752922063
123,5734,12658.7174345889,10752.2810179318,12900.0727275634
124,9066,12411.2553632829,6856.59269688921,5056.905436384
125,13870,7053.57893259443,13819.7122258948,12956.3248802018
126,14838,4515.19707547485,13971.426933302,12105.3108075693
127,13230,5132.27440288119,14355.5065146816,14759.2964708341
128,12430,6080.26313080115,9827.4441093832,11630.9771927645
129,9175,9135.73493237855,11018.6011371209,13164.8153892709
130,4424,11521.4078583741,8139.72811691001,8102.74444816571
131,8315,9292.30313218558,6885.28563823776,5654.09682533137
132,12164,4526.79225991033,11915.0633406035,10419.9200191333
133,13747,4372.53077892589,13409.0228171769,11182.9381574895
134,13105,4784.05911013055,11359.3146359926,13287.746752452
135,11498,4837.07026373654,9402.82710965892,11816.4328248045
136,8978,8418.59743281007,8418.34012292622,11453.4254963075
137,4858,10840.1350365122,8135.07917193943,8673.22118835162
138,6908,8982.83665651743,6565.95894794931,5374.9059848423
139,12447,4909.39847138524,11253.0542014791,8908.13082848673
140,11953,3613.8874668888,14331.0125968363,12276.7659398611
141,10992,4979.75816051629,11245.5695915498,10224.9365662444
142,11261,4944.30176034471,8757.11382242272,11208.1180676237
143,8593,7064.28372539683,8704.92072402616,10858.1096963921
144,4633,10117.1846372738,7194.73672411162,8165.24595543815
145,7190,8042.39422727811,5823.79974013505,5108.6359831836
146,12363,4112.50991162977,10037.7412324459,9151.73891537601
147,13114,4060.6874698259,13039.0852454088,11891.4485207337
148,9077,4950.31313468587,11364.8087222499,11776.48649834
149,5048,5320.31214212581,7620.04048261112,8038.70229888495
150,3678,7996.99755652406,5589.70631475681,5803.9720259942
151,3211,9516.91487917386,5354.49611762286,4741.49723740043
152,7914,5865.5392728898,5424.28223289561,3997.69836556693
153,12955,226.371946622992,9522.55164241248,9277.41913690192
154,13397,452.61663851177,8658.74979732777,11726.8610676537
155,11008,4722.34527451765,7113.253370856,11921.2773905435
156,6945,6973.95963399071,5712.94162694904,10037.5725299317
157,5739,8794.59464377019,5668.71806415997,6842.13973611335
158,4432,9033.18782375397,7362.28319217228,6983.22842110442
159,7624,6736.81035272473,8548.86187566958,4558.30118381753
160,14151,2774.86910871037,13755.6228476331,9305.58815269336
161,12054,1340.39493991176,15452.3896845634,13482.629169198
162,8790,5122.82485019045,9282.41468889731,9545.95977210717
163,10548,7068.30965347432,6209.53620195846,9284.60449270599
164,9410,7508.49531426481,7360.36896326287,11052.9310714639
165,4622,9128.31896325727,7132.21925570046,8528.78031583092
166,5569,7112.96715276744,5537.78488161456,4753.53001462781
167,9053,3762.09155618774,8858.46896727392,7513.48734936436
168,9436,4897.08575036925,12045.7551267428,8928.95827464033
169,7795,5313.01683419558,10423.706996743,8800.71911826399
170,7412,3166.89227188065,7443.85524818433,7396.15609771134
171,6055,4636.9615236786,6693.78135086638,7877.16348020027
172,3271,7931.16457385269,5402.09999929142,5771.22970570893
173,4835,6482.10114236165,3872.7945509284,3752.72040678031
174,6919,2329.54319204357,6109.68153092978,6207.76432299698
175,7152,2536.77528285348,6830.77056319261,6575.06585951686
176,6640,3963.24252960146,6366.91878479019,6947.07561208609
177,6322,3275.55745626592,5376.38679508073,6353.35982729632
178,4683,4004.20582929683,5555.50778900785,6486.7717098542
179,2419,5774.44083756428,4650.39746589421,4451.18071739133
180,4604,5115.76467353988,3646.42143428763,2990.24557363129
181,6789,2495.69289144908,6736.6798360972,5862.5615988774
182,7156,2192.0752356824,6825.91383217464,6245.79533918109
183,6144,2771.62748274935,5915.86909388001,6911.67896742586
184,5864,3126.72008113434,4343.27996968691,5638.06590402142
185,4706,4578.0324194652,4658.29453490327,6289.43430406968
186,2503,5615.46463387659,4190.26920236445,4396.0084052508
187,4326,4506.93963932041,3562.13772952404,2997.47426085284
188,6802,2269.39198020669,6406.76917551667,5478.39747174483
189,6496,2308.12209783849,7427.60134427466,6455.25196430012
190,6053,3070.21523116314,5856.52934807116,5936.46983117548
191,5965,2815.21100453355,4821.30920299338,6092.26843159495
192,4728,4174.79401600926,4717.32775686866,5929.9336585712
193,2431,5590.06816151833,4187.53130330759,4642.14872489692
194,4029,4420.9442988834,3179.11110768942,2700.53605270621
195,6930,2327.87497334133,5850.10865270943,5330.40416110924
196,7008,2315.93677730776,7088.51860267477,6628.28538851399
197,6379,2923.07947224258,6049.59042489243,6372.51777904384
198,6586,2733.68482211087,4817.39955703219,6240.33375438989
199,5334,4173.03266232502,5221.67643704951,6669.47034185907
200,2543,5980.52845828536,4618.65098949334,5000.30246167518
201,5178,4971.71585400228,3496.07519745601,2827.89906542975
202,8694,2312.20133165957,7397.0341029989,6743.12331169171
203,9073,2478.51487515109,8475.57885606922,7958.03080939909
204,8777,3402.3434064104,7470.22941513724,8364.83507421834
205,8510,3308.57112348023,6146.30557834989,8329.49616494628
206,7038,5521.18285414344,6503.1919034985,8343.94151886915
207,3890,7608.60411963088,6102.64377275789,6749.43502555693
208,6310,6354.07289702353,5243.33926514189,4065.24753411732
209,12146,3439.52355902089,9269.28488916018,8015.0475481216
210,12142,2909.75115983666,12713.6710382487,11763.8774971767
211,11539,4423.13748263926,9984.46558140952,10264.9026008095
212,12100,4608.47384282221,8588.78401540853,11515.930422518
213,10099,7000.54402936428,8860.93858491483,11543.8378402872
214,4786,10217.0986798607,8529.93432134898,9543.5503178773
215,7937,8810.49019465354,6193.30370889319,4678.50543522097
216,15698,4630.78543096567,12323.7025601266,10637.6130760831
217,15250,4126.36298564774,16376.7761881802,14948.9260764283
218,15829,5919.24340630169,13315.6345142989,12879.2775797754
219,14857,5061.35600013614,11558.9797810684,16043.2631078063
220,13574,9068.41579438932,11048.5756314657,13186.8439477689
221,6170,13227.8755087095,11260.1784032429,14060.5950373149
222,9954,11458.5135279447,7782.07300904503,4670.86780256278
223,17260,6066.38009570761,15441.6262832833,14371.8947095159
224,21045,5473.81032058299,18810.3303995606,15194.7095591698
225,18775,6662.33804429125,18978.8233066848,20491.2482330221
226,21049,6678.49507308994,13340.712862061,15630.5487478192
227,17259,10118.5836228889,15862.9826151273,22491.0823035552
228,10896,16356.873601987,12971.8903444541,13733.1054143858
229,14396,15229.5958593333,12978.2296524663,12699.7840522248
230,25052,8464.77557189312,18521.4446609627,15834.0491028553
231,27278,7514.32640919738,28737.4168272423,25534.2320810309
232,25998,9885.45306123627,23904.546627963,23044.9452699924
233,26405,10139.420182379,22403.5447457705,25359.8926129772
234,21849,14536.3511855946,20618.1122447606,24886.0637665993
235,14578,21391.819255416,20134.713803382,20575.7841565152
236,16741,19066.1754426717,16550.1174882243,14775.9949060522
237,29978,11689.0227929476,23338.8535507503,19599.491397327
238,34151,9367.46627419107,31695.2922615458,30440.4961731445
239,35143,11617.2851987729,29743.9312608311,29597.091287866
240,31757,11982.7273603545,26050.1457675118,33883.8398866004
241,29253,18291.3061011962,24325.8298382901,28417.9042897557
242,16965,25895.6681444695,25275.6674686126,29924.8458099403
243,20870,25445.4514209851,20353.8660581313,14173.793504822
244,32874,15619.869989732,30868.1084098942,27591.6439367332
245,35251,11443.0726797947,38687.306733033,30272.4521911165
246,30546,14543.1497468685,35012.6316210191,33185.0815433027
247,28073,14784.5050674892,26207.2946972408,27398.0394943622
248,22947,19189.6503933664,24603.3171645591,28971.270909407
249,9902,25940.950885541,21067.2569171727,21303.2269943183
250,8245,23062.2112995866,13641.0567080286,10605.6524685459
251,14910,12100.9472962931,15529.2524715174,12958.1261408827
252,27887,8546.21774369219,22501.8159714419,16167.5588934893
253,28487,6851.16488221383,25429.4474665636,28628.5496776814
254,24856,5523.49094006775,17304.9714988285,22779.8683680101
255,21703,10419.0396940216,14077.9047761429,24937.3989530088
256,12013,19501.5251312457,13904.1716335163,19935.0973909758
257,13227,23534.7607920529,12352.6296408077,12019.5248669322
258,21283,13319.3290461604,20162.2795667016,16890.7529030011
259,21130,6162.14427916755,30425.7814439606,21228.8255444529
260,17847,9736.07643339508,26854.4460228229,18872.6778550434
261,15763,10893.3052808028,20252.6319090634,17515.2597552751
262,12153,12026.2793105093,16193.5546128529,15764.6258250454
263,7283,15218.2387945539,12107.2516140118,12233.3161385779
264,9246,12760.4423594749,8472.32126390714,8066.42619865043
265,13926,6422.50712101806,11039.882569853,11648.6310834097
266,12762,5048.37426660536,12820.6196745897,13667.5621022322
267,10858,6926.41792809679,10624.4524489979,11484.6329804516
268,9505,6444.99908724478,9209.11539290162,11098.1662398422
269,7219,7893.89503672208,9145.48937130766,9480.30564453371
270,3451,10006.490216619,8362.74968148238,7559.6457680733
271,5709,7628.75535828509,5808.52672291874,3849.30365347215
272,8895,3309.16612535607,9746.79890952898,7921.45103570339
273,8427,3132.8154302903,9493.63257996451,8207.03108136228
274,6796,4274.91590015221,7157.72071283104,8016.98423493624
275,6469,3759.31579734808,4764.83277844231,6509.19496950536
276,4612,5140.16258495181,5015.50902165355,7040.23699490899
277,2525,6994.1113004768,4045.96723807501,4277.93257333324
278,2296,4997.72570319776,3696.38486724433,3423.04608522431
279,3896,2329.21808979962,4161.48606964303,3002.88532370369
280,6431,2320.84254245947,6228.42944614212,4637.56005703909
281,6047,2123.90978240507,6080.25890486399,6368.47825023209
282,4765,1808.47257972679,4259.94861921429,5222.78288449008
283,3852,2839.20426033942,2988.38961622693,4894.01093881722
284,2032,4675.44651144644,2925.13621661957,3959.92666597714
285,3098,5073.65092262136,2250.94174562115,2286.46256832896
286,4255,2401.70189696819,4591.05322130411,4201.64206783828
287,3730,1175.92637230737,5005.93876685336,3972.90296607917
288,3288,2233.1796690234,4535.12843102712,3748.29371331759
289,2896,2510.83701823293,3365.06816783242,3410.91077594471
290,2167,2760.24506705909,3102.70861332297,3115.11885390376
291,1109,2954.35805425559,2192.97686559781,2350.64133912333
292,1734,2326.15245394207,1549.49594335753,1458.08496439181
293,2344,1407.04604689469,2236.98530093079,2464.11540907763
294,2086,1326.17456818168,2294.67953158251,2311.22345559299
295,1679,1366.60669225202,1766.89909337692,2218.36217187453
296,1516,1192.21473885767,1418.95156321274,1812.64641468772
297,1075,1658.67810792723,1414.12330744713,1836.01309668448
298,559,1965.79858444025,1203.74453915962,1214.68393110047
299,1000,1324.30631081494,915.137177832078,936.007532211838
300,1267,638.892052272009,1580.52414255854,1444.84858050257
301,1230,849.90342377422,1359.4100667645,1341.19318569676
302,946,949.356302347489,1119.04242782293,1425.17078160177
303,775,790.495713691353,718.340259526473,1053.47006314533
304,579,1031.01342751486,695.721689657227,1085.96351247694
305,333,1215.70780704005,573.19589978633,764.266290740988
306,588,899.559870369476,507.553153428448,638.998338483725
307,664,456.33930202942,832.315860306001,920.391024914667
308,572,549.953822727035,743.789488196499,788.470368814597
309,319,685.480791323504,572.132852575024,797.554917364157
310,415,628.127938741315,326.698187349793,486.507018406323
311,312,616.481986514488,446.829747039503,768.593650158229
312,194,681.073286612641,298.350932540086,418.250310753464
313,400,537.76054303912,259.716576719772,515.827045351126
314,428,336.615066532716,414.524349208978,631.906389846537
315,382,485.65903309856,367.518353525364,595.407985554255
316,341,536.875792802433,311.291377846135,588.298981503906
317,239,460.366056699584,294.114925868277,546.552625637473
318,227,555.200965168514,252.453612150177,451.453678652661
319,140,568.162205895658,295.359357118021,481.112647212737
320,215,472.12399466672,214.821532871785,338.384411785317
321,241,368.878522012313,327.19744921511,501.866547677246
322,218,387.302398063013,243.214216640678,405.742959951626
323,190,427.624144542481,206.784535328065,457.629207732961
324,168,401.28034678949,143.876332530641,383.540421662876
325,133,421.476410690625,149.464709703281,406.882459480279
326,73,440.457663638747,122.052753614399,339.106442131085
327,188,404.314159756941,105.744262519429,307.885538463599
328,165,330.471067762886,229.078186238635,442.285286070154
329,147,361.579535183122,159.806604696131,326.865772698453
330,133,371.102172327537,149.130159536197,396.795781290755
331,100,363.586174687158,118.764726581359,324.80403783556
332,71,408.951939377582,108.259518388599,336.927584655152
333,52,388.293804157299,84.5914504035691,283.888337322173
334,123,339.177559706477,81.1471528062071,289.628980649807
335,104,313.810091302852,139.627389189665,355.146769410113
336,98,338.442593955993,88.805016447215,292.614996054968
337,96,332.346628890668,82.5857839530872,334.484162462104
338,107,333.774752911404,72.1421369818174,299.542442281948
339,54,363.071682145809,90.9189503543078,337.966913520928
340,38,361.245401861125,55.0845696101212,249.613618155912
341,96,329.121837431295,66.5299696068537,287.516580206132
342,103,316.379777116815,123.436597410168,315.282290042772
343,93,333.752947341887,103.354354790591,309.525388223996
344,76,315.22444637436,78.3491379695339,308.332132383226
345,86,322.130343881476,62.4660279010583,290.856673274337
346,66,359.332723091688,72.1558058324732,312.499650412994
347,44,357.314846335838,61.0139134900611,273.368423851803
348,96,321.261150100786,56.7724884387426,273.488236270083
349,86,302.883355964457,111.61533712255,325.684010771767
350,105,337.615088601461,82.1223059152197,281.83537169358
351,93,325.715062156395,99.7475596647299,339.254218828578
352,114,320.502315474838,72.9291310433386,287.26863291699
353,69,345.285771976571,101.851595908456,351.642611247878
354,67,363.143740999698,60.7233860553864,255.874140203105
355,104,341.454875861055,90.6818458446913,319.258553865913
356,124,322.592164124974,106.151651976186,308.804070588558
